Id,Name
Abkhazia,Abkhazia
Afghanistan,Afghanistan
Albania,Albania
Alderney,Alderney
Algeria,Algeria
Ambazonia,Ambazonia
American Samoa,American Samoa
Andalusia,Andalusia
Andorra,Andorra
Angola,Angola
Anguilla,Anguilla
Antigua and Barbuda,Antigua and Barbuda
Arameans Suryoye,Arameans Suryoye
Argentina,Argentina
Armenia,Armenia
Artsakh,Artsakh
Aruba,Aruba
Asturias,Asturias
Australia,Australia
Austria,Austria
Aymara,Aymara
Azerbaijan,Azerbaijan
Bahamas,Bahamas
Bahrain,Bahrain
Bangladesh,Bangladesh
Barawa,Barawa
Barbados,Barbados
Basque Country,Basque Country
Belarus,Belarus
Belgium,Belgium
Belize,Belize
Benin,Benin
Bermuda,Bermuda
Bhutan,Bhutan
Biafra,Biafra
Bolivia,Bolivia
Bonaire,Bonaire
Bosnia and Herzegovina,Bosnia and Herzegovina
Botswana,Botswana
Brazil,Brazil
British Virgin Islands,British Virgin Islands
Brittany,Brittany
Brunei,Brunei
Bulgaria,Bulgaria
Burkina Faso,Burkina Faso
Burma,Burma
Burundi,Burundi
Cambodia,Cambodia
Cameroon,Cameroon
Canada,Canada
Canary Islands,Canary Islands
Cape Verde,Cape Verde
Cascadia,Cascadia
Catalonia,Catalonia
Cayman Islands,Cayman Islands
Central African Republic,Central African Republic
Central Spain,Central Spain
Chad,Chad
Chagos Islands,Chagos Islands
Chameria,Chameria
Chechnya,Chechnya
Chile,Chile
China,China
China PR,China PR
Cilento,Cilento
Colombia,Colombia
Comoros,Comoros
Congo,Congo
Cook Islands,Cook Islands
Corsica,Corsica
Costa Rica,Costa Rica
County of Nice,County of Nice
Crimea,Crimea
Croatia,Croatia
Cuba,Cuba
Curaçao,Curaçao
Cyprus,Cyprus
Czech Republic,Czech Republic
Czechoslovakia,Czechoslovakia
DR Congo,DR Congo
Darfur,Darfur
Denmark,Denmark
Djibouti,Djibouti
Dominica,Dominica
Dominican Republic,Dominican Republic
Donetsk PR,Donetsk PR
Délvidék,Délvidék
Ecuador,Ecuador
Egypt,Egypt
El Salvador,El Salvador
Elba Island,Elba Island
Ellan Vannin,Ellan Vannin
England,England
Equatorial Guinea,Equatorial Guinea
Eritrea,Eritrea
Estonia,Estonia
Eswatini,Eswatini
Ethiopia,Ethiopia
Falkland Islands,Falkland Islands
Faroe Islands,Faroe Islands
Felvidék,Felvidék
Fiji,Fiji
Finland,Finland
France,France
Franconia,Franconia
French Guiana,French Guiana
Frøya,Frøya
Gabon,Gabon
Galicia,Galicia
Gambia,Gambia
Georgia,Georgia
German DR,German DR
Germany,Germany
Ghana,Ghana
Gibraltar,Gibraltar
Gotland,Gotland
Gozo,Gozo
Greece,Greece
Greenland,Greenland
Grenada,Grenada
Guadeloupe,Guadeloupe
Guam,Guam
Guatemala,Guatemala
Guernsey,Guernsey
Guinea,Guinea
Guinea-Bissau,Guinea-Bissau
Guyana,Guyana
Găgăuzia,Găgăuzia
Haiti,Haiti
Hitra,Hitra
Hmong,Hmong
Honduras,Honduras
Hong Kong,Hong Kong
Hungary,Hungary
Iceland,Iceland
India,India
Indonesia,Indonesia
Iran,Iran
Iraq,Iraq
Iraqi Kurdistan,Iraqi Kurdistan
Isle of Man,Isle of Man
Isle of Wight,Isle of Wight
Israel,Israel
Italy,Italy
Ivory Coast,Ivory Coast
Jamaica,Jamaica
Japan,Japan
Jersey,Jersey
Jordan,Jordan
Kabylia,Kabylia
Kazakhstan,Kazakhstan
Kenya,Kenya
Kernow,Kernow
Kiribati,Kiribati
Kosovo,Kosovo
Kuwait,Kuwait
Kyrgyzstan,Kyrgyzstan
Kárpátalja,Kárpátalja
Laos,Laos
Latvia,Latvia
Lebanon,Lebanon
Lesotho,Lesotho
Liberia,Liberia
Libya,Libya
Liechtenstein,Liechtenstein
Lithuania,Lithuania
Luhansk PR,Luhansk PR
Luxembourg,Luxembourg
Macau,Macau
Madagascar,Madagascar
Madrid,Madrid
Malawi,Malawi
Malaya,Malaya
Malaysia,Malaysia
Maldives,Maldives
Mali,Mali
Malta,Malta
Manchukuo,Manchukuo
Mapuche,Mapuche
Martinique,Martinique
Matabeleland,Matabeleland
Maule Sur,Maule Sur
Mauritania,Mauritania
Mauritius,Mauritius
Mayotte,Mayotte
Menorca,Menorca
Mexico,Mexico
Micronesia,Micronesia
Moldova,Moldova
Monaco,Monaco
Mongolia,Mongolia
Montenegro,Montenegro
Montserrat,Montserrat
Morocco,Morocco
Mozambique,Mozambique
Myanmar,Myanmar
Namibia,Namibia
Nepal,Nepal
Netherlands,Netherlands
New Caledonia,New Caledonia
New Zealand,New Zealand
Nicaragua,Nicaragua
Niger,Niger
Nigeria,Nigeria
Niue,Niue
North Korea,North Korea
North Macedonia,North Macedonia
North Vietnam,North Vietnam
Northern Cyprus,Northern Cyprus
Northern Ireland,Northern Ireland
Northern Mariana Islands,Northern Mariana Islands
Norway,Norway
Occitania,Occitania
Oman,Oman
Orkney,Orkney
Padania,Padania
Pakistan,Pakistan
Palau,Palau
Palestine,Palestine
Panama,Panama
Panjab,Panjab
Papua New Guinea,Papua New Guinea
Paraguay,Paraguay
Parishes of Jersey,Parishes of Jersey
Peru,Peru
Philippines,Philippines
Poland,Poland
Portugal,Portugal
Provence,Provence
Puerto Rico,Puerto Rico
Qatar,Qatar
Raetia,Raetia
Republic of Ireland,Republic of Ireland
Republic of St. Pauli,Republic of St. Pauli
Rhodes,Rhodes
Romani people,Romani people
Romania,Romania
Russia,Russia
Rwanda,Rwanda
Ryūkyū,Ryūkyū
Réunion,Réunion
Saare County,Saare County
Saarland,Saarland
Saint Barthélemy,Saint Barthélemy
Saint Helena,Saint Helena
Saint Kitts and Nevis,Saint Kitts and Nevis
Saint Lucia,Saint Lucia
Saint Martin,Saint Martin
Saint Vincent and the Grenadines,Saint Vincent and the Grenadines
Samoa,Samoa
San Marino,San Marino
Sark,Sark
Saudi Arabia,Saudi Arabia
Saugeais,Saugeais
Scotland,Scotland
Sealand,Sealand
Seborga,Seborga
Senegal,Senegal
Serbia,Serbia
Seychelles,Seychelles
Shetland,Shetland
Sierra Leone,Sierra Leone
Silesia,Silesia
Singapore,Singapore
Sint Maarten,Sint Maarten
Slovakia,Slovakia
Slovenia,Slovenia
Solomon Islands,Solomon Islands
Somalia,Somalia
Somaliland,Somaliland
South Africa,South Africa
South Korea,South Korea
South Ossetia,South Ossetia
South Sudan,South Sudan
South Yemen,South Yemen
Spain,Spain
Sri Lanka,Sri Lanka
Sudan,Sudan
Suriname,Suriname
Surrey,Surrey
Sweden,Sweden
Switzerland,Switzerland
Syria,Syria
Székely Land,Székely Land
Sápmi,Sápmi
São Tomé and Príncipe,São Tomé and Príncipe
Tahiti,Tahiti
Taiwan,Taiwan
Tajikistan,Tajikistan
Tamil Eelam,Tamil Eelam
Tanzania,Tanzania
Thailand,Thailand
Tibet,Tibet
Ticino,Ticino
Timor-Leste,Timor-Leste
Togo,Togo
Tonga,Tonga
Trinidad and Tobago,Trinidad and Tobago
Tunisia,Tunisia
Turkey,Turkey
Turkmenistan,Turkmenistan
Turks and Caicos Islands,Turks and Caicos Islands
Tuvalu,Tuvalu
Two Sicilies,Two Sicilies
Uganda,Uganda
Ukraine,Ukraine
United Arab Emirates,United Arab Emirates
United Koreans in Japan,United Koreans in Japan
United Koreans of Japan,United Koreans of Japan
United States,United States
United States Virgin Islands,United States Virgin Islands
Uruguay,Uruguay
Uzbekistan,Uzbekistan
Vanuatu,Vanuatu
Vatican City,Vatican City
Venezuela,Venezuela
Vietnam,Vietnam
Vietnam Republic,Vietnam Republic
Wales,Wales
Wallis Islands and Futuna,Wallis Islands and Futuna
West Papua,West Papua
Western Armenia,Western Armenia
Western Australia,Western Australia
Western Isles,Western Isles
Western Sahara,Western Sahara
Yemen,Yemen
Yemen DPR,Yemen DPR
Ynys Môn,Ynys Môn
Yorkshire,Yorkshire
Yoruba Nation,Yoruba Nation
Yugoslavia,Yugoslavia
Zambia,Zambia
Zanzibar,Zanzibar
Zimbabwe,Zimbabwe
Åland,Åland
Åland Islands,Åland Islands
